Image,Titre,Duree,Description,Nbjoueur
https://cdn1.philibertnet.com/614490-thickbox_default/faraway-boite-orange.jpg,Faraway,"
moins de 30mn
","Faraway est un jeu de cartes conçu spécialement pour les joueurs initiés, mais il a su conquérir le cœur de tous ceux qui s'y sont aventurés !","

2 à 6 joueur(s)

"
https://cdn1.philibertnet.com/614491-thickbox_default/trio.jpg,Trio,"
moins de 30mn
","Trio est un jeu de cartes, simple et rapide, dans lequel vous devrez trouver les trios de cartes identiques parmi celles en jeu et dans les mains de vos adversaires.","

3 à 6 joueur(s)

"
https://cdn2.philibertnet.com/611411-thickbox_default/2-pommes-3-pains.jpg,2 Pommes 3 Pains,"
moins de 30mn
",2 Pommes 3 Pains est un jeu d'observation et de rapidité.,"

2 à 6 joueur(s)

"
https://cdn1.philibertnet.com/593646-thickbox_default/the-vale-of-eternity.jpg,The Vale of Eternity,"
30mn à 1h
",The Vale of Eternity est un jeu de gestion de main et de collection dans lequel vous devrez maîtriser des créatures fabuleuses afin qu'elles rejoignent vos rangs.,"

2 à 4 joueur(s)

"
https://cdn3.philibertnet.com/615266-thickbox_default/root-extension-maraude.jpg,Root : Extension Maraude,"
1 à 2h
",L'extension Maraude introduit deux nouvelles factions ainsi que quatre mercenaires.,"

2 à 6 joueur(s)

"
https://cdn3.philibertnet.com/611064-thickbox_default/courtisans.jpg,Courtisans,"
moins de 30mn
",Ce soir a lieu le banquet de la reine. Un évènement majeur où les familles du royaume veulent se montrer à leur avantage. Les manœuvres vont bon train et tous les coups sont permis pour placer son favori sur le devant de la scène.,"

2 à 5 joueur(s)

"
https://cdn2.philibertnet.com/611067-thickbox_default/boreal.jpg,Boreal,"
moins de 30mn
",Boreal est un jeu de cartes pour 2 joueurs.,"

2 joueur(s)

"
https://cdn3.philibertnet.com/606148-thickbox_default/7-wonders-architects-medals.jpg,7 Wonders : Architects - Medals,"
moins de 30mn
",7 Wonders : Architects - Medals est une extension pour 7 Wonders : Architects qui inclut deux nouvelles merveilles : Ur et Rome.,"

2 à 7 joueur(s)

"
https://cdn3.philibertnet.com/583038-thickbox_default/sky-team.jpg,Sky Team,"
moins de 30mn
","Sky Team est un jeu coopératif, pour 2 joueurs, dans lequel vous incarnez une équipe de pilotes aux commandes d’un avion de ligne.","

2 joueur(s)

"
https://cdn2.philibertnet.com/608787-thickbox_default/captain-flip.jpg,Captain Flip,"
moins de 30mn
",Hissez votre pavillon et recrutez votre équipage pour gagner un maximum de pièces sonnantes et trébuchantes !,"

2 à 5 joueur(s)

"
https://cdn3.philibertnet.com/609951-thickbox_default/le-roy-des-ribauds.jpg,Le Roy des Ribauds,"
moins de 30mn
",Faites échouer l'assassinat du roi ! A moins que vous ne soyez l'investigateur…,"

2 joueur(s)

"
https://cdn2.philibertnet.com/552792-thickbox_default/sea-salt-paper.jpg,Sea Salt & Paper,"
moins de 30mn
","Sea Salt & Paper est un jeu de cartes basé sur la mécanique du stop-ou-encore. Constituez votre main, jouez vos effets, prenez l'initiative de stopper la manche. Pour tenter d'optimiser vos points, oserez-vous accorder aux autres un dernier tour ?","

2 à 4 joueur(s)

"
https://cdn3.philibertnet.com/589576-thickbox_default/sea-salt-paper-extra-salt.jpg,Sea Salt & Paper - Extra Salt,"
moins de 30mn
",Sea Salt & Paper - Extra Salt est une mini-extension pour le jeu Sea Salt & Paper qui ajoute 8 nouvelles cartes pour enrichir le jeu de base.,"

2 à 4 joueur(s)

"
https://cdn2.philibertnet.com/608772-thickbox_default/pixies.jpg,Pixies,"
moins de 30mn
","Un nouveau jeu dans la gamme de Sea Salt & Paper, facile à jouer et qui donne envie de rejouer et Avec des êtres de nature sculptés très originaux !","

2 à 5 joueur(s)

"
